DATETIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
04/07/16 00,2.44,5.24,3.19,4.1,2.86,5.5,4.39,93.63,1,93.65,1,0,0,0,0,0,0,0,0,49.84,1,35.54,1,0,0,29.87,1,0,0,0,0,2.98,36.38,28.26,70,28.22,85.87,21.69,82.72,21.58,71.99,39.33,29.64,0
04/07/16 01,2.66,4.53,3.2,4.18,3.29,5.44,4.53,89.41,1,89.43,1,0,0,34.26,1,0,0,0,0,48.38,1,37.83,1,0,0,0,0,0,0,0,0,2.98,38.6,24.39,87.73,24.45,84.87,29.81,86.62,29.81,59.76,42.17,26.15,0
04/07/16 02,3.11,3.66,3.66,4.21,3.87,5.15,3.22,89.88,1,89.89,1,0,0,32.97,1,0,0,0,0,46.84,1,37.31,1,0,0,0,0,0,0,0,0,2.98,38.36,23.84,89.29,23.9,87.11,29.85,87.64,29.85,58.5,42,25.56,0
04/07/16 03,3.62,3.04,4.17,4.04,3.56,4.98,2.4,88.1,1,88.12,1,0,0,33.27,1,0,0,0,0,0,0,0,0,0,0,32.68,1,0,0,0,0,2.98,39.29,27,91.98,27.1,68.75,31.6,64.25,31.47,72.3,43.24,28.38,0
04/07/16 04,4.08,2.68,4.73,3.2,3.11,5.39,3.46,87.01,1,87.03,1,0,0,32.99,1,0,0,0,0,0,0,0,0,0,0,32.81,1,0,0,0,0,2.98,39.85,26.67,92.11,26.76,68.74,32.3,64.23,32.17,72.53,44,28.04,0
04/07/16 05,4.53,2.1,5.26,3.29,2.76,5.5,4.67,110.09,1,0,0,0,0,30.43,1,0,0,0,0,46.6,1,0,0,0,0,30.26,1,0,0,0,0,2.99,27.41,22.59,91.94,22.64,86.26,30.41,63.36,30.3,79.47,39.76,24.28,0
04/07/16 06,4.84,1.57,5.12,3.9,2.29,5.3,3.9,107.71,1,0,0,0,0,0,0,0,0,0,0,47.35,1,0,0,0,0,0,0,0,0,0,0,2.99,28.74,24.78,75.29,24.74,87.03,33.98,63.13,33.98,59.47,41.24,26.13,0
04/07/16 07,5.19,1.07,4.85,4.45,1.87,5,2.66,110.23,1,0,0,0,0,0,0,0,0,0,0,47.66,1,0,0,0,0,0,0,0,0,0,0,2.99,27.33,24.25,73.65,24.22,85.95,33.22,61.75,33.22,55.73,40.05,25.61,0
04/07/16 08,5.22,0.94,4.52,3.51,1.55,5.09,2.48,111.38,1,0,0,0,0,0,0,0,0,0,0,0,0,37.03,1,0,0,31.53,1,0,0,0,0,2.99,26.68,25.94,71.43,25.94,57.78,22.73,81.09,22.61,67.51,39.26,27.13,0
04/07/16 09,5.11,0.68,4.11,2.41,1.77,5.27,2.57,112.78,1,0,0,0,0,0,0,0,0,0,0,48.44,1,36.3,1,0,0,31.38,1,0,0,0,0,2.99,25.89,23.81,67.55,23.77,84.09,22.21,81.9,22.1,67.53,38.59,25.17,0
04/07/16 10,4.73,0.62,3.59,2.66,2.13,5.43,2.63,117.5,1,0,0,0,0,0,0,0,0,0,0,50.13,1,35.33,1,0,0,30.91,1,0,0,88.73,1,2.99,23.19,26.55,71.49,26.51,83.59,19.96,81.37,19.85,66.85,29.13,28.23,0
